Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HElo,AElo
2026-07-19,2026,Jaro,Inter Turku,0,0,D,U,3.94,3.67,1.73,8,1.0,1.0,1.0,0.0,5.0,6.0,-1.0,7.0,4.0,3.0,-2.0,2.0,-4.0,0.0,1.0,-1.0,1.0,0.0,1.0,28.6,28.6,57.1,14.3,1452.0,1675.5
2026-07-18,2026,SJK,KuPS,0,2,A,U,2.23,3.5,2.71,8,1.0,2.0,2.0,0.0,4.0,7.0,-3.0,4.0,2.0,2.0,0.0,5.0,-5.0,1.0,1.0,0.0,0.0,0.0,0.0,28.6,42.9,42.9,14.3,1590.5,1742.3
2026-07-18,2026,HJK,VPS,2,1,H,O,1.98,3.5,3.19,8,1.0,1.0,1.0,1.0,4.0,3.0,1.0,7.0,3.0,4.0,-3.0,0.0,-3.0,0.0,0.0,0.0,1.0,0.0,1.0,42.9,28.6,28.6,28.6,1606.7,1571.8
2026-07-18,2026,AC Oulu,Gnistan,0,2,A,U,2.31,3.37,2.66,7,2.0,1.0,0.0,1.0,5.0,4.0,1.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,83.3,0.0,14.3,42.9,1515.2,1531.1
2026-07-11,2026,TPS,AC Oulu,3,0,H,O,2.39,3.32,2.62,8,2.0,1.0,1.0,1.0,5.0,2.0,3.0,4.0,5.0,-1.0,1.0,-3.0,4.0,0.0,0.0,0.0,0.0,1.0,-1.0,71.4,14.3,37.5,50.0,1484.2,1526.4
2026-07-11,2026,Lahti,HJK,2,0,H,U,2.69,3.51,2.24,9,1.0,2.0,1.0,1.0,3.0,10.0,-7.0,3.0,4.0,-1.0,0.0,6.0,-6.0,0.0,2.0,-2.0,0.0,0.0,0.0,37.5,25.0,42.9,28.6,1476.9,1620.6
2026-07-11,2026,Gnistan,Mariehamn,4,2,H,O,1.29,5.05,8.01,8,2.0,0.0,0.0,3.0,5.0,1.0,4.0,3.0,7.0,-4.0,2.0,-6.0,8.0,0.0,0.0,0.0,0.0,1.0,-1.0,57.1,28.6,0.0,85.7,1524.0,1421.0
2026-07-10,2026,VPS,SJK,1,0,H,U,1.75,3.75,3.81,8,2.0,1.0,0.0,0.0,10.0,6.0,4.0,2.0,5.0,-3.0,8.0,1.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,57.1,0.0,14.3,42.9,1560.7,1601.7
2026-07-04,2026,VPS,Mariehamn,4,0,H,O,1.26,5.21,8.86,7,2.0,0.0,0.0,3.0,8.0,1.0,7.0,3.0,6.0,-3.0,5.0,-5.0,10.0,1.0,0.0,1.0,0.0,1.0,-1.0,50.0,0.0,0.0,83.3,1554.2,1427.5
2026-07-04,2026,SJK,TPS,3,1,H,O,1.72,3.73,3.98,7,0.0,0.0,3.0,2.0,2.0,1.0,1.0,6.0,3.0,3.0,-4.0,-2.0,-2.0,0.0,0.0,0.0,1.0,0.0,1.0,16.7,50.0,0.0,50.0,1594.6,1491.3
2026-07-04,2026,Lahti,Gnistan,1,0,H,U,2.22,3.31,2.85,8,1.0,1.0,1.0,1.0,7.0,4.0,3.0,3.0,3.0,0.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,-1.0,28.6,28.6,16.7,33.3,1464.8,1536.0
2026-07-04,2026,Jaro,Ilves,2,1,H,O,3.59,3.75,1.8,7,1.0,0.0,1.0,2.0,6.0,5.0,1.0,6.0,11.0,-5.0,0.0,-6.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,16.7,33.3,0.0,57.1,1437.1,1623.5
2026-06-27,2026,TPS,Jaro,3,2,H,O,1.98,3.34,3.36,7,2.0,0.0,1.0,3.0,3.0,1.0,2.0,2.0,10.0,-8.0,1.0,-9.0,10.0,0.0,0.0,0.0,0.0,2.0,-2.0,66.7,16.7,0.0,71.4,1482.3,1446.0
2026-06-27,2026,Mariehamn,Inter Turku,0,2,A,U,8.37,5.02,1.28,7,0.0,1.0,2.0,0.0,1.0,7.0,-6.0,8.0,5.0,3.0,-7.0,2.0,-9.0,0.0,1.0,-1.0,2.0,0.0,2.0,0.0,50.0,50.0,16.7,1431.5,1671.5
2026-06-27,2026,Ilves,SJK,2,2,D,O,2.12,3.59,2.84,7,3.0,1.0,0.0,1.0,8.0,6.0,2.0,0.0,6.0,-6.0,8.0,0.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,66.7,33.3,16.7,50.0,1624.4,1593.7
2026-06-27,2026,HJK,KuPS,0,4,A,O,2.24,3.48,2.72,7,1.0,1.0,0.0,0.0,6.0,4.0,2.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,16.7,33.3,16.7,1627.6,1735.3
2026-06-27,2026,Gnistan,VPS,1,1,D,U,2.5,3.26,2.53,7,3.0,1.0,0.0,1.0,9.0,3.0,6.0,2.0,3.0,-1.0,7.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,66.7,33.3,33.3,33.3,1535.5,1554.7
2026-06-27,2026,AC Oulu,Lahti,1,1,D,U,1.98,3.4,3.33,6,3.0,0.0,0.0,3.0,5.0,1.0,4.0,2.0,4.0,-2.0,3.0,-3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,20.0,80.0,1528.3,1463.0
2026-06-23,2026,VPS,AC Oulu,5,1,H,O,1.94,3.29,3.54,6,1.0,1.0,0.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,42.9,42.9,1544.9,1538.1
2026-06-23,2026,Mariehamn,HJK,0,4,A,O,7.09,5.23,1.3,6,0.0,1.0,2.0,2.0,1.0,6.0,-5.0,5.0,5.0,0.0,-4.0,1.0,-5.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,40.0,33.3,33.3,1436.6,1622.5
2026-06-23,2026,Lahti,TPS,0,0,D,U,1.76,3.46,4.08,7,1.0,0.0,1.0,3.0,8.0,1.0,7.0,4.0,4.0,0.0,4.0,-3.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,33.3,33.3,0.0,60.0,1462.4,1482.9
