Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,HST,AST,HC,AC,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HSTF,ASTF,HCF,ACF,HElo,AElo
2026-04-12,2025,Estoril,Porto,1.0,3.0,A,O,6.28,4.31,1.45,3.0,5.0,1.0,8.0,15,1.0,2.0,1.0,0.0,4.0,5.0,-1.0,3.0,3.0,0.0,1.0,2.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,42.9,21.4,85.7,7.1,12.0,14.0,16.0,15.0,1523.7,1826.5
2026-04-12,2025,Benfica,Nacional,2.0,0.0,H,U,1.13,7.56,14.75,8.0,4.0,15.0,1.0,15,2.0,0.0,0.0,2.0,8.0,1.0,7.0,2.0,5.0,-3.0,6.0,-4.0,10.0,2.0,0.0,2.0,0.0,1.0,-1.0,64.3,0.0,14.3,50.0,19.0,18.0,22.0,14.0,1826.2,1421.6
2026-04-12,2025,Alverca,Casa Pia,3.0,1.0,H,O,1.98,3.22,3.74,5.0,5.0,9.0,11.0,15,0.0,0.0,1.0,2.0,2.0,0.0,2.0,5.0,6.0,-1.0,-3.0,-6.0,3.0,0.0,0.0,0.0,1.0,2.0,-1.0,35.7,35.7,21.4,57.1,7.0,5.0,16.0,13.0,1505.7,1490.7
2026-04-11,2025,Santa Clara,Rio Ave,0.0,2.0,A,U,1.77,3.34,4.56,4.0,3.0,3.0,3.0,15,2.0,2.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,35.7,50.0,28.6,35.7,8.0,11.0,9.0,10.0,1501.6,1494.8
2026-04-11,2025,Estrela,Sp Lisbon,0.0,1.0,A,U,11.08,6.04,1.21,3.0,2.0,4.0,13.0,15,1.0,2.0,1.0,0.0,6.0,9.0,-3.0,4.0,3.0,1.0,2.0,6.0,-4.0,1.0,2.0,-1.0,1.0,0.0,1.0,28.6,35.7,71.4,0.0,16.0,22.0,11.0,14.0,1443.0,1866.6
2026-04-11,2025,AVS,Guimaraes,1.0,1.0,D,U,4.79,3.65,1.66,4.0,6.0,5.0,4.0,15,1.0,0.0,1.0,3.0,3.0,2.0,1.0,1.0,8.0,-7.0,2.0,-6.0,8.0,1.0,0.0,1.0,0.0,2.0,-2.0,7.1,64.3,23.1,69.2,8.0,12.0,20.0,14.0,1374.3,1561.6
2026-04-10,2025,Famalicao,Moreirense,1.0,1.0,D,U,1.46,4.05,6.72,7.0,1.0,13.0,0.0,15,3.0,1.0,0.0,1.0,4.0,3.0,1.0,0.0,5.0,-5.0,4.0,-2.0,6.0,1.0,0.0,1.0,0.0,1.0,-1.0,57.1,28.6,28.6,50.0,17.0,11.0,19.0,9.0,1588.3,1507.9
2026-04-06,2025,Casa Pia,Benfica,1.0,1.0,D,U,11.81,5.9,1.2,2.0,3.0,3.0,12.0,13,2.0,3.0,0.0,0.0,6.0,6.0,0.0,4.0,3.0,1.0,2.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,33.3,76.9,0.0,9.0,11.0,3.0,25.0,1483.0,1833.9
2026-04-06,2025,Arouca,Estoril,3.0,2.0,H,O,2.42,3.44,2.61,4.0,3.0,3.0,3.0,14,2.0,1.0,1.0,2.0,7.0,1.0,6.0,4.0,6.0,-2.0,3.0,-5.0,8.0,1.0,0.0,1.0,0.0,2.0,-2.0,30.8,46.2,30.8,53.8,19.0,7.0,7.0,14.0,1507.6,1534.5
2026-04-04,2025,Rio Ave,Alverca,1.0,2.0,A,O,2.45,3.29,2.68,5.0,6.0,8.0,4.0,14,1.0,0.0,1.0,0.0,3.0,4.0,-1.0,3.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,46.2,15.4,53.8,16.0,15.0,22.0,23.0,1505.0,1495.5
